COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS,Column1,_1,_2
P6_7_3,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
 la escuela o institución educativa?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_7_4,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
 un sitio público con costo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_7_5,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
 un sitio público sin costo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_7_6,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
 casa de otra persona (amigo o familiar)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_7_8,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
 Otro lugar",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_7A,"6.7 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet en...
Otro lugar Especifique",Varchar,100,[A-Z], ,,,
P6_8_1,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 enviar y recibir correo electrónico?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_2,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 descargar contenidos de internet (música, videos, documentos, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_3,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 copiar archivos entre directorios (carpetas)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_4,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear archivos de texto?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_5,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear hojas de cálculo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_6,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear presentaciones?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_7,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 instalar dispositivos periféricos (impresora, proyector, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_8,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 crear o usar base de datos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_9,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 programar en lenguaje especializado?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8_10,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 otras habilidades",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_8A,"6.8 Con la computadora, laptop o tablet, ¿usted sabe…
 otras habilidades Especifique",Varchar,100,[A-Z], ,,,
P6_9_1," 6.9 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet...
 para actividades laborales?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_9_2," 6.9 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet...
 para labores escolares?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_9_3," 6.9 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet...
 como medio de capacitación independiente?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_9_4," 6.9 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet...
 para entretenimiento?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_9_5," 6.9 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet...
 para acceso a internet?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_9_6," 6.9 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet...
 Otro uso",Varchar,1,[1-2],"1 Sí, 2 No",,,
P6_9A," 6.9 En los últimos tres meses, ¿ha utilizado la computadora, laptop o tablet...
Otro uso Especifique",Varchar,100,[A-Z],  ,,,
P7_1,"7.1 En los últimos tres meses, ¿ha utilizado internet en este hogar o fuera de él?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_2,7.2 ¿Por qué no utiliza internet?,Varchar,1,[1-8],"1 No tiene acceso, aunque sabe utilizarlo, 2 No sabe utilizarlo, 3 No le interesa o no lo necesita, 4 Por falta de recursos económicos, 5 Por discapacidad física o mental, 6 Por razones relacionadas con la privacidad o seguridad, 7 No le permiten usarlo, 8 Otra razón",,,
P7_2A,"7.2 ¿Por qué no utiliza internet?
 Otra razón Especifique",Varchar,100,[A-Z], ,,,
P7_3,"7.3 En los últimos tres meses, ¿con qué frecuencia ha utilizado internet?",Varchar,1,[1-5],"1 Diario (7 día a la semana), 2 Al menos una vez a la semana, 3 Al menos una vez al mes, 4 Al menos una vez cada tres meses, 5 Con otra frecuencia menor",,,
P7_4,7.4 ¿Cuántas horas al día usa internet? (cuando lo utiliza),Varchar,2,[01-24],01 Una hora o menos,,,
P7_5,7.5 ¿La conexión a internet que ha utilizado es…,Varchar,1,"[1-3, 9]","1 Solo fija (la conexión solo puede realizarse en el interior o cercanía del lugar, incluye conexión por wifi) 2 Solo móvil (la conexión solo puede realizarse mediante red celular MiFi o HBB), 3 Ambas (fija y móvil), 9 No sabe",,,
P7_6_1,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
 computadora de escritorio?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_6_2,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
 computadora portátil (laptop, notebook)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_6_3,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
 tablet?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_6_4,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
 celular inteligente (Smartphone)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_6_5,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
 televisión con acceso a internet (Smart TV), o algún dispositivo conectado a ésta?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_6_6,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
 consola de videojuegos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_6_7,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
 Otro equipo",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_6A,"7.6 En los últimos tres meses ¿se ha conectado a internet por medio de…
Otro equipo Especifique",Varchar,100,[A-Z], ,,,
P7_7,7.7 ¿Desde hace cuánto tiempo utiliza internet?,Varchar,1,[1-5],"1 Menos de 1 año, 2 Entre 1 y hasta 2 años, 3 Más de 2 y hasta 5 años, 4 Más de 5 años, 5 No recuerda",,,
P7_8_1,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 el hogar ?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8_2,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 el trabajo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8_3,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 la escuela o institución educativa?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8_4,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 un sitio público con costo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8_5,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 un sitio público sin costo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8_6,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 casa de otra persona (amigo o familiar)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8_7,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 cualquier lugar mediante una conexión móvil (incluye Smartphone)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8_8,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 Otro lugar",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_8A,"7.8 En los últimos tres meses, ¿ha utilizado internet en…
 Otro lugar Especifique",Varchar,100,[A-Z], ,,,
P7_9_1,"7.9 En los últimos tres meses, ¿ha utilizado internet…
para actividades laborales?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_9_2,"7.9 En los últimos tres meses, ¿ha utilizado internet…
para actividades escolares?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_9_3,"7.9 En los últimos tres meses, ¿ha utilizado internet…
no lo usa para estas actividades",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_1,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 salud?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_2,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 empleos, bolsas de trabajo (solo para elegido de 15 años o más)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_3,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 educación, investigación o tareas?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_4,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 viajes, hoteles y vuelos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_5,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 páginas de blogs?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_6,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 cursos en línea?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_7,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 bienes o servicios?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_8,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 rutas y ubicación (GPS)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_9,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 clima?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10_10,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 otro tipo de información",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_10A,"7.10 En los últimos tres meses, ¿ha buscado en internet información sobre…
 otro tipo de información Especifique",Varchar,100,[A-Z], ,,,
P7_11_1,"7.11 En los últimos tres meses, ¿ha utilizado el internet para…
 realizar capacitación para el trabajo?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_11_2,"7.11 En los últimos tres meses, ¿ha utilizado el internet para…
 tomar cursos para complementar la educación (como apoyo al estudio)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_11_3,"7.11 En los últimos tres meses, ¿ha utilizado el internet para…
 tomar tutoriales sobre cualquier tema de interés (a través de YouTube o de otras plataformas o aplicaciones)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_11_4,"7.11. En los últimos tres meses, ¿ha utilizado el internet para…
 otro tipo de capacitaciones",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_11A,"7.11 En los últimos tres meses, ¿ha utilizado el internet para…
 otro tipo de capacitaciones Especifique",Varchar,100,[A-Z], ,,,
P7_12_1,"7.12 En los últimos tres meses, ¿ha utilizado el internet para…
 enviar correos electrónicos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_12_2,"7.12 En los últimos tres meses, ¿ha utilizado el internet para…
 realizar conversaciones telefónicas (a través de Skype o WhatsApp)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_12_3,"7.12 En los últimos tres meses, ¿ha utilizado el internet para…
 enviar mensajes instantáneos (WhatsApp, Messenger, X, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_12_4,"7.12 En los últimos tres meses, ¿ha utilizado el internet para…
 Otro medio de comunicación",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_12A,"7.12 En los últimos tres meses, ¿ha utilizado el internet para…
 Otro medio de comunicación Especifique",Varchar,100,[A-Z], ,,,
P7_13_1,"7.13 En los últimos tres meses, ¿en internet…
 leyó periódicos, revistas o libros?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13_2,"7.13 En los últimos tres meses, ¿en internet…
 vio películas, series, conciertos y otros audiovisuales de pago (Netflix, Clarovideo, Blim, OTT, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13_3,"7.13 En los últimos tres meses, ¿en internet…
 vio películas, series, conciertos y otros audiovisuales gratuitos (Youtube)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13_4,"7.13 En los últimos tres meses, ¿en internet…
 escuchó música gratis que no sea radio AM y FM (Spotify, YouTube music, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13_5,"7.13 En los últimos tres meses, ¿en internet…
 jugó en línea  (Candy Crush, Fornite, Minecraft, Roblox, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13_6,"7.13 En los últimos tres meses, ¿en internet…
accedió a contenidos de radio AM o FM?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13_7,"7.13 En los últimos tres meses, ¿en internet…
accedió a TV en la web (canales abiertos por internet: Tv Azteca en vivo)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13_8,"7.13 En los últimos tres meses, ¿en internet…
 Otro tipo de entretenimiento",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_13A,"7.13 En los últimos tres meses, ¿en internet…
 Otro tipo de entretenimiento Especifique",Varchar,100,[A-Z], ,,,
P7_14,"7.14 En los últimos tres meses, ¿ha creado o desarrollado sitios de internet o blogs?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_15,"7.15 En los últimos tres meses, ¿ha usado redes sociales?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_1,"7.16 ¿Qué redes sociales utiliza?
 Facebook",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_2,"7.16 ¿Qué redes sociales utiliza?
X",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_3,"7.16 ¿Qué redes sociales utiliza?
 Instagram",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_4,"7.16 ¿Qué redes sociales utiliza?
 LinkedIn",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_5,"7.16 ¿Qué redes sociales utiliza?
 Snapchat",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_6,"7.16 ¿Qué redes sociales utiliza?
Whatsapp",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_7,"7.16 ¿Qué redes sociales utiliza?
Youtube",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_8,"7.16 ¿Qué redes sociales utiliza?
Pinterest",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_9,"7.16 ¿Qué redes sociales utiliza?
Messenger",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_10,"7.16 ¿Qué redes sociales utiliza?
Tik Tok",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16_11,"7.16 ¿Qué redes sociales utiliza?
Otras redes",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_16A,"7.16 ¿Qué redes sociales utiliza?
Otras redes Especifique",Varchar,100,[A-Z], ,,,
P7_17_1,"7.17 En los últimos tres meses, ¿ha utilizado internet para…
 descargar software o aplicaciones?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_17_2,"7.17 En los últimos tres meses, ¿ha utilizado internet para…
 utilizar servicios en la nube (Dropbox, hosting o alojamiento de paga o gratuitos)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_1,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 infección por virus?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_2,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 exceso de información no deseada?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_3,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 interrupciones en el servicio?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_4,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 lentitud en la transferencia de la información?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_5,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 fraudes con información (financiera, personal, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_6,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 violación a la privacidad?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_7,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 mensajes de personas desconocidas?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18_8,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 Otro problema",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_18A,"7.18 En los últimos tres meses ¿ha tenido en los equipos que utilizó para conectarse a internet...
 Otro problema Especifique",Varchar,100,[A-Z], ,,,
P7_19,"7.19 En los últimos 12 meses, ¿ha realizado ventas por internet?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_20,"7.20 En los últimos 12 meses, ¿con qué frecuencia ha realizado ventas por internet?",Varchar,1,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año",,,
P7_21,"7.21 En los últimos 12 meses, ¿ha realizado compras por internet? (Excluya compras por motivo de trabajo e incluya las realizadas para su negocio)",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_1,"7.22 ¿Por qué no ha realizado compras por internet?
 Prefiere realizarlo en persona",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_2,"7.22 ¿Por qué no ha realizado compras por internet?
 No le interesa o no lo necesita",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_3,"7.22 ¿Por qué no ha realizado compras por internet?
 Por falta de recursos económicos",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_4,"7.22 ¿Por qué no ha realizado compras por internet?
 Desconfía de la calidad del producto que recibirá",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_5,"7.22 ¿Por qué no ha realizado compras por internet?
 Desconfía de la seguridad del proceso de compra (privacidad de los datos, robo de identidad o de datos de tarjetas)",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_6,"7.22 ¿Por qué no ha realizado compras por internet?
 No cuenta con la tarjeta de crédito, débito o servicios de Banca en línea",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_7,"7.22 ¿Por qué no ha realizado compras por internet?
 No sabe como hacerlo",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_8,"7.22 ¿Por qué no ha realizado compras por internet?
 No le permiten realizarlo",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_9,"7.22 ¿Por qué no ha realizado compras por internet?
 No se considera con la edad suficiente para hacerlo",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22_10,"7.22 ¿Por qué no ha realizado compras por internet?
 Otra razón",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_22A,"7.22 ¿Por qué no ha realizado compras por internet?
Otra razón Especifique",Varchar,100,[A-Z], ,,,
P7_23,"7.23 En los últimos 12 meses, ¿con qué frecuencia ha realizado compras por internet?",Varchar,1,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año",,,
P7_24_1,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 libros (incluye libros electrónicos)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_2,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 música y videos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_3,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 computadoras, laptops o tablets?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_4,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 celulares o accesorios?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_5,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 programas y/o aplicaciones (software)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_6,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 alimentos y bebidas?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_7,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 entradas o reservaciones de eventos de entretenimiento (deporte, teatro, conciertos)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_8,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
productos de viaje (boletos de viaje, alquiler de vehículos, tours, paseos, visitas guiadas, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_9,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 servicios de alojamiento y hospedaje (Airbnb, Booking, Flipkey, sitios web de hoteles o similares, etc.)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_10,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 aparatos electrónicos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_11,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 productos de higiene personal, belleza y cosméticos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_12,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
artículos de uso personal, incluyendo ropa y accesorios?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_13,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 artículos para el hogar?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_14,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 vehículos o refacciones?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_15,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
productos financieros (acciones, seguros y planes de ahorro)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_16,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
consolas de videojuegos y juegos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_17,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
artículos de salud (medicinas, aparatos ortopédicos, instrumentos médicos, etc.)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_18,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
equipo fotográfico, de telecomunicaciones o equipos ópticos?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_19,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
servicio de transporte por plataforma (Uber, DiDi, etc.)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24_20,"7.24 En los últimos 12 meses, ¿ha comprado por internet…
 Otro producto o servicios?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_24A,"7.24 En los últimos 12 meses, ¿ha comprado por internet… 
Otro producto Especifique",Varchar,100,[A-Z], ,,,
P7_25_1,"7.25 ¿Las compras que realizó en internet las ha recibido mediante...
entrega a través de servicio de paquetería?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_25_2,"7.25 ¿Las compras que realizó en internet las ha recibido mediante...
entrega directa del (de la) vendedor(a) al (a la) comprador(a)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_25_3,"7.25 ¿Las compras que realizó en internet las ha recibido mediante...
entrega en el punto de venta o distribución?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_25_4,"7.25 ¿Las compras que realizó en internet las ha recibido mediante...
entrega en línea mediante descargas (aplicaciones, música, películas, libros, servicios, etcétera)?",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_25_5,"7.25 ¿Las compras que realizó en internet las ha recibido mediante...
Otro medio",Varchar,1,[1-2],"1 Sí, 2 No",,,
P7_25A,"7.25 ¿Las compras que realizó en internet las ha recibido mediante...
Otro medio Especifique",Varchar,100,[A-Z], ,,,
