COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS
P5_9_2,"5.9 En el último mes, ¿cuál es el monto del pago realizado por el servicio de … 
TV de paga, telefonía fija e internet?",Numeric,4,"[1-9998, 0, 9999]","0 No paga, 9999 No sabe"
P5_10_2,"5.10 ¿Reciben sin pago el servicio… (CÓDIGO “0, 000” o “9, 999” EN 5.9)
TV de paga, telefonía fija e internet?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_11_2,"5.11 Entonces, ¿su paquete incluye un servicio que no utiliza? 
TV de paga, telefonía fija e internet?",Varchar,1,"[1-2, 8]","1 Sí, 2 No, 8 No responde"
P5_8_3,"5.8 De los servicios de (opción de 5.7). ¿Dígame si los disponen en paquete o los reciben de manera separada…
TV de paga y telefonía fija?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_9_3,"5.9 En el último mes, ¿cuál es el monto del pago realizado por el servicio de … 
TV de paga y telefonía fija?",Numeric,4,"[1-9998, 0, 9999]","0 No paga, 9999 No sabe"
P5_10_3,"5.10 ¿Reciben sin pago el servicio… (CÓDIGO “0, 000” o “9, 999” EN 5.9)
TV de paga y telefonía fija?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_11_3,"5.11 Entonces, ¿su paquete incluye un servicio que no utiliza? 
TV de paga y telefonía fija?",Varchar,1,"[1-2, 8]","1 Sí,  2 No, 8 No responde"
P5_8_4,"5.8 De los servicios de (opción de 5.7). ¿Dígame si los disponen en paquete o los reciben de manera separada…
TV de paga e Internet?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_9_4,"5.9 En el último mes, ¿cuál es el monto del pago realizado por el servicio de … 
TV de paga e internet?",Numeric,4,"[1-9998, 0, 9999]","0 No paga, 9999 No sabe"
P5_10_4,"5.10 ¿Reciben sin pago el servicio… (CÓDIGO “0, 000” o “9, 999” EN 5.9) 
TV de paga e internet?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_11_4,"5.11 Entonces, ¿su paquete incluye un servicio que no utiliza? 
TV de paga e internet?",Varchar,1,"[1-2, 8]","1 Sí, 2 No, 8 No responde"
P5_8_5,"5.8 De los servicios de (opción de 5.7). ¿Dígame si los disponen en paquete o los reciben de manera separada…
Telefonía fija e internet?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_9_5,"5.9 En el último mes, ¿cuál es el monto del pago realizado por el servicio de … 
Telefonía fija e internet?",Numeric,4,"[1-9998, 0, 9999]","0 No paga,  9999 No sabe"
P5_10_5,"5.10 ¿Reciben sin pago el servicio… (CÓDIGO “0, 000” o “9, 999” EN 5.9) 
Telefonía fija e internet?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_11_5,"5.11 Entonces, ¿su paquete incluye un servicio que no utiliza? 
Telefonía fija e internet?",Varchar,1,"[1-2, 8]","1 Sí, 2 No, 8 No responde"
P5_8_6,"5.8 De los servicios de (opción de 5.7). ¿Dígame si los disponen en paquete o los reciben de manera separada…
Solo TV de paga?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_9_6,"5.9 En el último mes, ¿cuál es el monto del pago realizado por el servicio de … 
Solo TV de paga?",Numeric,4,"[1-9998, 0, 9999]","0 No paga,  9999 No sabe"
P5_10_6,"5.10 ¿Reciben sin pago el servicio… (CÓDIGO “0, 000” o “9, 999” EN 5.9) 
Solo TV de paga?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_8_7,"5.8 De los servicios de (opción de 5.7). ¿Dígame si los disponen en paquete o los reciben de manera separada…
Solo telefonía fija?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_9_7,"5.9 En el último mes, ¿cuál es el monto del pago realizado por el servicio de … 
Solo telefonía fija?",Numeric,4,"[1-9998, 0, 9999]","0 No paga, 9999 No sabe"
P5_10_7,"5.10 ¿Reciben sin pago el servicio… (CÓDIGO “0, 000” o “9, 999” EN 5.9) 
Solo telefonía fija?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_8_8,"5.8 De los servicios de (opción de 5.7). ¿Dígame si los disponen en paquete o los reciben de manera separada…
Solo internet?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_9_8,"5.9 En el último mes, ¿cuál es el monto del pago realizado por el servicio de … 
Solo internet?",Numeric,4,"[1-9998, 0, 9999]","0 No paga,  9999 No sabe"
P5_10_8,"5.10 ¿Reciben sin pago el servicio… (CÓDIGO “0, 000” o “9, 999” EN 5.9) 
Solo internet?",Varchar,1,"[1-2, 9]","1 Sí, 2 No, 9 No sabe"
P5_12_1,"5.12 ¿Se encuentra satisfecha(o) o insatisfecha(o) con el servicio de…
Internet?.",Varchar,1,"[1-3, 8]","1 Satisfecha(o), 2 Insatisfecha(o), 3 No cuenta con el servicio, 8 No quiso o no supo responder"
P5_12_2,"5.12 ¿Se encuentra satisfecha(o) o insatisfecha(o) con el servicio de…
TV de paga?",Varchar,1,"[1-3, 8]","1 Satisfecha(o), 2 Insatisfecha(o), 3 No cuenta con el servicio, 8 No quiso o no supo responder"
P5_12_3,"5.12 ¿Se encuentra satisfecha(o) o insatisfecho(o) con el servicio de…
Telefonía fija?",Varchar,1,"[1-3, 8]","1 Satisfecha(o), 2 Insatisfecha(o), 3 No cuenta con el servicio, 8 No quiso o no supo responder"
P5_13_1,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
bocina o asistente del hogar (Alexa, Google Assistant)?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_2,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
sistemas de video vigilancia (cámara de seguridad, monitor de bebé, alarmas)?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_3,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
puertas o ventanas con cerrado digital?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_4,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
termostato o dispositivos de ahorro de energía eléctrica (Ecobee, Nest, Sensi)?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_5,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
luces o interruptores?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_6,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
conexión eléctrica (soquet o enchufes)?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_7,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
electrodomésticos (refrigerador, estufa, lavavajillas, cafetera, tostador, aspiradora, microondas, lavadora, secadora, lavasecadora)?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_8,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
dispositivos de entretenimiento (DVD, Blu-ray)?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_9,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
automóvil o camioneta?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13_10,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
Otros dispositivos?",Varchar,1,[1-2],"1 Sí, 2 No"
P5_13A,"5.13 De los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿dispone de… (excluye Smartphone, computadora de escritorio, laptop, tablet, consola de videojuegos y Smart TV)
Otros dispositivos? Especifique",Varchar,100,"[0-9, A-Z]", 
FAC_HOG,Factor,Numeric,5,[],Factor
UPM_DIS,Unidad primaria de muestreo,Varchar,5,[],Unidad primaria de muestreo
EST_DIS,Estrato de diseño muestral,Varchar,3,[],Estrato de diseño muestral
DOMINIO,Población rural y urbana,Varchar,1,"[U,R]",Población rural y urbana
TLOC,Tamaño de la Localidad,Varchar,1,[1-4],"1 100,000 y más habitantes, 2 15,000 a 99,999 habitantes, 3 2,500 a 14,999 habitantes, 4 menor a 2500 habitantes"
ESTRATO,Estrato socioeconómico,Varchar,1,[1-4],"1 Bajo, 2 Medio bajo, 3 Medio alto, 4 Alto"
CVE_ENT,Clave del AGEE,Varchar,2,[01-32],"{01, 02, …, 32}"
CVEGEO,Clave geoestadística concatenada,Varchar,2,[01-32],Compuesta por 2 caracteres; dos para la clave del AGEE
ESTATUS,Estatus,Varchar,20,[],"Cifras Definitivas, Cifras Revisadas, Cifras Preliminares"
