COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO,METADATOS,Column1,_1,_2
P8_16_9,"8.16 En los últimos tres meses, ¿ha instalado aplicaciones para...
 Otras aplicaciones",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P8_16A,"8.16 En los últimos tres meses, ¿ha instalado aplicaciones para...
Otras aplicaciones Especifique",Varchar ,100,[A-Z],,,,
P8_17,"8.17 En los últimos tres meses, ¿con qué frecuencia se ha conectado a internet con el celular inteligente (Smartphone)?",Varchar ,1,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año",,,
P8_18,8.18 ¿Se encuentra satisfecha(o) o insatisfecha(o) con el servicio de datos (conexión de red) del celular inteligente (Smartphone) que utiliza?,Varchar ,1,"[1-2,8]","1 Satisfecha(o), 2 Insatisfecha(o), 8 No quiso o no supo responder",,,
P9_1_1,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
bocina o asistente del hogar?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_2,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
sistemas de video vigilancia (cámara de seguridad, monitor de bebé, alarmas)?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_3,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
puertas o ventanas con cerrado digital?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_4,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
termostato o dispositivos de ahorro de energía eléctrica (Ecobee, Nest, Sensi)?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_5,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
luces o interruptores?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_6,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
conexión eléctrica (soquet o enchufes)?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_7,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
electrodomésticos (refrigerador, estufa, lavavajillas, cafetera, tostador, aspiradora, microondas, lavadora, secadora, lavasecadora)?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_8,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
dispositivos de entretenimiento (Smart TV, DVD, Blue ray)?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_9,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
automóvil o camioneta?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1_10,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
Otros dispositivos",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P9_1A,"9.1 En los últimos tres meses, de los siguientes dispositivos inteligentes conectados a internet o a una red local, ¿ha utilizado... (excluye Smartphone, computadora de escritorio, laptop, tablet y consola de videojuegos)
Otros dispositivos Especifique",Varchar ,100,[A-Z],,,,
P10_1,"10.1 La semana pasada, ¿escuchó la radio?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P10_2,10.2 ¿Por qué razón no escuchó la radio la semana pasada?,Varchar ,1,[1-5],"1 No le interesa o no lo necesita, 2 No cuenta con ningún aparato de Televisión, 3 No hay servicio en su localidad (falta de infraestructura, cobertura de red), 4 Por discapacidad física o mental, 5 Otra razón",,,
P10_2A,"10.2 ¿Por qué razón no escuchó la radio la semana pasada?
Otra razón Especifique",Varchar ,100,[A-Z],,,,
P10_3_1,"10.3 ¿Las estaciones que escucha son a través de la banda…
 AM?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P10_3_2,"10.3 ¿Las estaciones que escucha son a través de la banda…
 FM?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P10_4,"10.4 Principalmente, ¿qué dispositivo utilizó para escuchar la radio la semana pasada?",Varchar ,1,[1-7],1 Estéreo/grabadora 2 Radio del automóvil/transporte 3 Radio portátil 4 Teléfono celular 5 Tablet 6 Computadora 7 Otro,,,
P10_4A,"10.4 Principalmente, ¿qué dispositivo utilizó para escuchar la radio la semana pasada? 
Otro dispositivo Especifique",Varchar ,100,[A-Z],,,,
P10_5,"10.5 Principalmente, ¿dónde escuchó la radio la semana pasada?",Varchar ,1,[1-5],1 Hogar 2 Automóvil 3 Transporte público 4 Trabajo 5 Otro lugar,,,
P10_5A,"10.5 Principalmente, ¿dónde escuchó la radio la semana pasada?
Otro Especifique",Varchar ,100,[A-Z],,,,
P10_6,"10.6 En promedio, ¿cuántas horas al día dedicó a escuchar la radio la semana pasada?",Varchar ,2,[01-24],01 Una hora o menos,,,
P10_7,"10.7 En la última semana, ¿vio televisión abierta?",Varchar ,1,[1-2],"1 Sí, 2 No",,,
P10_8,10.8 ¿Por qué razón no vio televisión abierta la semana pasada?,Varchar ,1,[1-5],"1 No le interesa o no lo necesita 2 No cuenta con ningún aparato de Televisión 3 No hay servicio en su localidad (falta de infraestructura, cobertura de red) 4 Por discapacidad física o mental 5 Otra razón",,,
P10_8A,"10.8 ¿Por qué razón no vio televisión abierta la semana pasada?
Otra razón Especifique",Varchar ,100,[A-Z],,,,
P10_9,"10.9 En promedio, ¿cuántas horas al día dedicó a ver televisión abierta la semana pasada?",Varchar ,2,[01-24],01 Una hora o menos,,,
FAC_PER,Factor,Numeric,6,[],Factor,,,
UPM_DIS,Unidad primaria de muestreo,Varchar,5,[],Unidad primaria de muestreo,,,
EST_DIS,Estrato de diseño muestral,Varchar,3,[],Estrato de diseño muestral,,,
DOMINIO,Población rural y urbana,Varchar,1,"[U,R]",Población rural y urbana,,,
TLOC,Tamaño de la Localidad,Varchar,1,[1-4],"1 100,000 y más habitantes, 2 15,000 a 99,999 habitantes, 3 2,500 a 14,999 habitantes, 4 menor a 2500 habitantes",,,
ESTRATO,Estrato socioeconómico,Varchar,1,[1-4],1 Bajo 2 Medio bajo 3 Medio alto 4 Alto,,,
PAREN,3.3 ¿Qué es (NOMBRE) del jefe(a) del hogar?,Varchar,1,[1-6],"1 Jefe(a), 2 Esposo(a) o compañero(a), 3 Hijo(a), 4 Nieto(a), 5 Otro parentesco, 6 Sin parentesco",,,
SEXO,3.4 (NOMBRE) es hombre (NOMBRE) es mujer,Varchar,1,[1-2],"1 Hombre, 2 Mujer",,,
NIVEL,"3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? 
Nivel",Varchar ,2,"[00-11, 99]","00 Ninguno, 01 Preescolar o kínder, 02 Primaria, 03 Secundaria, 04 Normal básica, 05 Estudio técnico terminal con secundaria, 06 Preparatoria o bachillerato, 07 Estudio técnico superior con preparatoria terminada, 08 Licenciatura o ingeniería, 09 Especialidad, 10 Maestría, 11 Doctorado, 99 No sabe",,,
GRADO,"3.8 ¿Hasta qué año o grado aprobó (NOMBRE) en la escuela? 
Grado",Varchar ,1,[0-9],Grado o año hasta el que aprobó la escuela el residente habitual en el hogar,,,
CVE_ENT,Clave del AGEE,Varchar,2,[01-32],"{01, 02, …, 32}",,,
CVEGEO,Clave geoestadística concatenada,Varchar,2,[01-32],Compuesta por 2 caracteres; dos para la clave del AGEE,,,
ESTATUS,Estatus,Varchar,20,[],"Cifras Definitivas, Cifras Revisadas, Cifras Preliminares",,,
